store_id,sku_id,forecast_units,actual_units,on_hand_units,lead_time_days,pack_size,min_order_qty,safety_stock,raw_reorder_qty,max_reorder_cap,capped_reorder_qty,recommended_reorder_qty,stockout_risk_flag,urgent_reorder_flag,decision_note
1,3,207.04638949059841,202,0.0,7.0,12,10,52.0,260.0,363.0,260.0,264.0,1,1,Urgent review
1,4,57.21971355992239,58,0.0,7.0,10,0,15.0,73.0,101.0,73.0,80.0,1,1,Urgent review
1,6,351.27669479607914,364,0.0,7.0,5,0,88.0,440.0,615.0,440.0,440.0,1,1,Urgent review
1,7,180.63405942125513,200,0.0,7.0,5,0,46.0,227.0,317.0,227.0,230.0,1,1,Urgent review
1,10,274.4842728036652,273,36.0,9.0,12,20,69.0,308.0,481.0,308.0,312.0,0,1,Urgent review
1,14,396.3765402663691,402,0.0,7.0,10,5,100.0,497.0,694.0,497.0,500.0,1,1,Urgent review
1,16,288.5566734263972,264,110.0,9.0,4,0,73.0,252.0,505.0,252.0,252.0,0,0,Reorder candidate
1,17,225.33194945214123,241,0.0,7.0,10,0,57.0,283.0,395.0,283.0,290.0,1,1,Urgent review
1,18,195.27193201982806,193,22.0,11.0,1,5,49.0,223.0,342.0,223.0,223.0,0,1,Urgent review
1,19,316.7758825109159,319,5.0,9.0,2,20,80.0,392.0,555.0,392.0,392.0,0,1,Urgent review
1,20,368.8867573320755,357,99.0,5.0,12,20,93.0,363.0,646.0,363.0,372.0,0,0,Reorder candidate
1,22,33.87804810293106,29,61.0,3.0,2,5,9.0,0.0,60.0,0.0,6.0,0,0,Reorder candidate
1,23,141.29937987649328,147,0.0,7.0,4,0,36.0,178.0,248.0,178.0,180.0,1,1,Urgent review
1,25,415.4128842973987,421,0.0,7.0,5,10,104.0,520.0,727.0,520.0,520.0,1,1,Urgent review
1,27,210.3657207462157,213,0.0,7.0,10,5,53.0,264.0,369.0,264.0,270.0,1,1,Urgent review
1,32,138.42217603366691,133,0.0,7.0,5,20,35.0,174.0,243.0,174.0,175.0,1,1,Urgent review
1,33,197.626408463692,187,0.0,7.0,1,20,50.0,248.0,346.0,248.0,248.0,1,1,Urgent review
1,34,130.64619935616054,126,91.0,11.0,5,5,33.0,73.0,229.0,73.0,75.0,0,0,Reorder candidate
1,35,52.60263578802994,57,0.0,7.0,1,20,14.0,67.0,93.0,67.0,67.0,1,1,Urgent review
1,36,354.19866255582815,358,68.0,5.0,5,20,89.0,376.0,620.0,376.0,380.0,0,0,Reorder candidate
1,41,284.37302244009425,311,0.0,7.0,10,0,72.0,357.0,498.0,357.0,360.0,1,1,Urgent review
1,43,424.83698129359067,404,0.0,6.0,10,20,107.0,532.0,744.0,532.0,540.0,1,1,Urgent review
1,46,57.02290006383002,45,105.0,2.0,5,0,15.0,0.0,100.0,0.0,0.0,0,0,No action
1,47,384.72083645039424,441,0.0,7.0,6,0,97.0,482.0,674.0,482.0,486.0,1,1,Urgent review
