brand,actual_sales_28d,actual_units_28d,forecast_units_next_28d,forecast_sales_next_28d,forecast_status,source_type,claim_boundary
Brand_01,180190.57,1466,1558.0,199482.02,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_02,139463.23,1734,1862.0,131235.35,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_03,457539.63,2729,2719.0,478203.18,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_04,83509.68,468,478.0,82960.38,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_05,131193.02,1255,1382.0,127521.02,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_06,135260.78,1144,1148.0,138634.82,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_07,14119.949999999999,136,131.0,13433.15,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_08,182120.08,2362,2607.0,179302.46,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_09,350042.09,2878,2795.0,350282.85,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_10,252009.54,2099,2298.0,266441.52,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_11,128505.5,1084,1007.0,140621.65,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_12,151098.63,1642,1706.0,169008.55,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_13,209760.57,2160,2008.0,220792.04,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_14,5230.35,396,406.0,5764.47,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_15,62030.83,926,896.0,63236.36,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_16,137242.3,1760,1662.0,149957.68,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_17,79759.94,623,639.0,76643.87,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_18,124296.2,1494,1574.0,136427.62,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_19,120222.31,979,964.0,125102.82,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_20,162874.78,1792,1933.0,170306.08,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_21,35537.83,469,518.0,33490.5,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_22,268756.2,2783,2596.0,265972.99,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_23,142112.62,1212,1190.0,136164.43,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_24,150713.46,958,942.0,151615.59,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_25,43639.76,614,580.0,48098.03,Growth,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_26,152782.45,1831,1712.0,148554.75,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
Brand_27,52297.840000000004,898,903.0,49311.31,Stable/Decline,synthetic,Forecast-style output; production use requires validated forecasting model and thresholds.
