memory_id,entity_type,run_id,model_name,model_type,selected_flag,mae,rmse,wmape,bias,source_type,evidence_id,valid_from_utc,valid_to_utc,superseded_by,is_current,claim_boundary
MODEL_dde1f5868109,ModelRun,RUN_20260526T152031+0000,lstm_gru_sequence,deep_sequence,True,2.85,4.0248,0.2894,-0.0526,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_232912ebfe9e,ModelRun,RUN_20260526T152031+0000,lightgbm_like,classical_ml,False,2.9959,4.1972,0.1806,-0.02,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_745a46395474,ModelRun,RUN_20260526T152031+0000,mlp_deep_tabular,deep_tabular,False,3.0216,4.2861,0.2211,-0.109,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_ddada16b7d27,ModelRun,RUN_20260526T152031+0000,xgboost_like,classical_ml,False,3.2383,4.584,0.1903,0.0443,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_4bcb74044343,ModelRun,RUN_20260526T152031+0000,hist_gradient_boosting,classical_ml,False,3.4005,4.2488,0.2413,-0.1333,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_cb050bae87ab,ModelRun,RUN_20260526T152031+0000,extra_trees,classical_ml,False,3.4319,4.8831,0.2044,-0.0221,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_500be78aa944,ModelRun,RUN_20260526T152031+0000,random_forest,classical_ml,False,3.5743,5.1076,0.2209,0.0038,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_9d9972ebc9cd,ModelRun,RUN_20260526T152031+0000,elasticnet,classical_ml,False,3.7683,4.9235,0.2792,0.1481,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_78f566e8c1d1,ModelRun,RUN_20260526T152031+0000,moving_average_28d,baseline,False,3.8397,4.8768,0.2574,0.0364,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
MODEL_5708b5f9fd65,ModelRun,RUN_20260526T152031+0000,seasonal_naive,baseline,False,4.0156,5.2181,0.217,0.0446,synthetic,evidence_model_comparison,2026-05-26T15:20:31+00:00,,,True,Model memory reflects current output rows only; not proof of production model performance.
